Date,Price,Open,High,Low,Vol.,Change %
2008-01-30,922.50,948.25,950.50,920.00,48.75K,-2.28%
2008-01-31,929.50,923.00,942.25,909.00,53.10K,0.76%
2008-02-01,943.00,934.00,957.25,933.00,73.96K,1.45%
2008-02-04,973.00,948.50,973.00,948.00,42.20K,3.18%
2008-02-05,"1,003.00",977.75,"1,003.00",972.25,54.64K,3.08%
2008-02-06,"1,033.00","1,017.50","1,033.00","1,016.00",52.44K,2.99%
2008-02-07,"1,063.00","1,060.00","1,063.00","1,034.00",74.03K,2.90%
2008-02-08,"1,093.00","1,079.00","1,093.00","1,079.00",39.68K,2.82%
2008-02-11,"1,048.00","1,153.00","1,153.00","1,040.00",140.00K,-4.12%
2008-02-12,"1,007.00","1,048.00","1,064.25",989.00,80.69K,-3.91%
2008-02-13,991.50,"1,005.25","1,014.75",980.00,78.21K,-1.54%
2008-02-14,"1,032.00","1,009.50","1,045.00","1,002.75",95.46K,4.08%
2008-02-15,"1,027.50","1,039.25","1,050.50","1,011.00",37.21K,-0.44%
2008-02-19,"1,036.00","1,026.75","1,060.25","1,018.00",47.21K,0.83%
2008-02-20,"1,020.00","1,042.00","1,042.00","1,008.25",45.92K,-1.54%
2008-02-21,"1,029.50","1,020.75","1,032.50","1,007.75",28.93K,0.93%
2008-02-22,"1,049.50","1,034.25","1,052.00","1,015.00",25.00K,1.94%
2008-02-25,"1,109.50","1,051.00","1,109.50","1,051.00",15.83K,5.72%
2008-02-26,"1,199.50","1,199.50","1,199.50","1,106.50",23.52K,8.11%
2008-02-27,"1,280.00","1,248.00","1,334.50","1,065.25",25.21K,6.71%
2008-02-28,"1,169.00","1,229.00","1,260.75","1,160.00",12.49K,-8.67%
2008-02-29,"1,073.00","1,155.00","1,167.00","1,071.00",9.88K,-8.21%
2008-03-01,929.00,"1,078.00","1,298.00",929.00,714.98K,-13.42%
2008-03-03,"1,093.00","1,078.00","1,247.00","1,078.00",6.79K,17.65%
2008-03-04,"1,077.50","1,088.25","1,116.25","1,044.25",2.85K,-1.42%
2008-03-05,"1,096.00","1,073.25","1,126.75","1,073.25",2.15K,1.72%
2008-03-06,"1,114.00","1,119.00","1,124.75","1,086.50",1.08K,1.64%
2008-03-07,"1,092.50","1,106.25","1,110.25","1,084.75",1.82K,-1.93%
2008-03-10,"1,140.00","1,079.50","1,140.00","1,074.00",0.24K,4.35%
2008-03-11,"1,240.00","1,146.00","1,298.00","1,146.00",1.35K,8.77%
2008-03-12,"1,270.00","1,200.00","1,293.00","1,191.00",0.55K,2.42%
2008-03-13,"1,234.00","1,252.75","1,290.75","1,245.00",0.62K,-2.83%
2008-03-14,"1,160.00","1,218.00","1,240.00","1,160.00",,-6.00%
2008-03-17,"1,131.50","1,184.25","1,222.00","1,131.50",63.18K,-2.46%
2008-03-18,"1,164.00","1,130.00","1,170.00","1,119.75",54.33K,2.87%
2008-03-19,"1,074.00","1,164.50","1,170.00","1,074.00",63.85K,-7.73%
2008-03-20,987.50,"1,077.75","1,094.00",976.00,126.51K,-8.05%
2008-03-24,"1,020.00",987.50,"1,062.25",987.50,67.17K,3.29%
2008-03-25,"1,067.50","1,026.75","1,118.75","1,015.00",79.93K,4.66%
2008-03-26,"1,033.00","1,084.00","1,091.25","1,030.00",72.86K,-3.23%
2008-03-27,"1,014.00","1,039.00","1,052.00","1,000.00",55.02K,-1.84%
2008-03-28,989.00,"1,012.50","1,022.00",967.75,57.61K,-2.47%
2008-03-31,929.00,998.00,"1,015.00",929.00,57.06K,-6.07%
2008-04-01,895.00,929.00,932.75,890.00,103.44K,-3.66%
2008-04-02,936.50,900.25,940.00,898.00,39.52K,4.64%
2008-04-03,937.00,941.00,955.00,928.25,25.46K,0.05%
2008-04-04,974.25,940.25,985.50,929.00,36.03K,3.98%
2008-04-07,921.25,974.25,980.50,914.25,44.21K,-5.44%
2008-04-08,934.00,923.50,944.25,910.00,39.31K,1.38%
2008-04-09,934.00,939.00,961.00,895.00,61.25K,0.00%
2008-04-10,923.00,937.75,952.00,918.75,37.29K,-1.18%
2008-04-11,896.50,925.00,935.50,885.00,53.90K,-2.87%
2008-04-14,896.00,898.00,915.00,878.00,30.66K,-0.06%
2008-04-15,895.75,897.00,927.75,893.50,26.74K,-0.03%
2008-04-16,924.50,896.25,925.50,892.50,14.91K,3.21%
2008-04-17,913.00,924.00,945.25,900.00,10.83K,-1.24%
2008-04-18,870.00,913.25,918.75,862.00,12.72K,-4.71%
2008-04-21,845.75,872.50,872.50,827.25,16.41K,-2.79%
2008-04-22,851.75,850.00,860.75,831.00,8.59K,0.71%
2008-04-23,817.75,852.25,853.00,808.50,10.06K,-3.99%
2008-04-24,809.25,839.00,839.00,801.50,8.21K,-1.04%
2008-04-25,800.50,810.00,822.00,799.00,10.39K,-1.08%
2008-04-28,826.00,805.50,827.00,800.00,9.18K,3.19%
2008-04-29,794.00,825.00,830.75,787.25,10.41K,-3.87%
2008-04-30,787.25,829.50,829.50,784.25,9.54K,-0.85%
2008-05-01,776.50,792.25,794.75,764.50,3.03K,-1.37%
2008-05-02,796.00,778.50,798.25,778.50,1.20K,2.51%
2008-05-05,792.50,804.25,819.50,786.00,2.72K,-0.44%
2008-05-06,806.00,797.25,824.25,788.50,0.82K,1.70%
2008-05-07,795.00,792.25,810.25,792.25,0.54K,-1.36%
2008-05-08,809.00,810.25,825.00,793.00,0.39K,1.76%
2008-05-09,791.50,787.75,793.00,780.00,0.31K,-2.16%
2008-05-12,793.50,789.75,796.00,787.75,0.11K,0.25%
2008-05-13,785.50,790.00,795.50,784.00,0.22K,-1.01%
2008-05-14,761.00,0.00,0.00,0.00,0.29K,-3.12%
2008-05-15,771.50,764.75,776.00,748.25,43.63K,1.38%
2008-05-16,775.50,770.50,784.00,765.75,22.35K,0.52%
2008-05-19,791.00,776.50,807.25,771.25,41.16K,2.00%
2008-05-20,784.00,796.00,809.50,782.00,0.02K,-0.88%
2008-05-21,778.00,782.00,794.50,775.00,36.15K,-0.77%
2008-05-22,745.00,778.00,788.00,742.00,60.07K,-4.24%
2008-05-23,752.50,746.75,759.50,740.00,32.76K,1.01%
2008-05-27,759.00,754.25,768.00,752.00,23.73K,0.86%
2008-05-28,759.00,756.75,766.50,743.00,30.30K,0.00%
2008-05-29,743.50,759.75,762.50,730.75,40.04K,-2.04%
2008-05-30,761.50,743.50,765.00,739.75,42.56K,2.42%
2008-06-01,843.50,759.50,952.75,745.75,1.08M,10.77%
2008-06-02,782.50,759.50,798.25,759.50,60.73K,-7.23%
2008-06-03,750.50,780.00,782.50,745.75,65.90K,-4.09%
2008-06-04,753.00,752.00,765.00,747.00,54.90K,0.33%
2008-06-05,785.50,755.50,787.00,753.50,45.43K,4.32%
2008-06-06,811.00,785.00,829.75,783.25,68.86K,3.25%
2008-06-09,788.50,822.00,838.00,786.50,67.88K,-2.77%
2008-06-10,809.00,794.00,812.50,786.50,70.60K,2.60%
2008-06-11,869.00,810.25,869.00,804.50,48.02K,7.42%
2008-06-12,851.00,883.00,883.00,837.00,94.24K,-2.07%
2008-06-13,882.00,851.00,893.00,838.00,66.90K,3.64%
2008-06-16,876.50,883.00,913.75,874.25,52.27K,-0.62%
2008-06-17,898.25,873.50,902.00,869.00,42.90K,2.48%
2008-06-18,904.00,898.00,913.50,885.00,42.21K,0.64%
2008-06-19,881.00,904.00,910.00,875.00,42.82K,-2.54%
2008-06-20,866.50,881.00,893.75,863.25,42.94K,-1.65%
2008-06-23,866.25,861.50,873.50,842.25,42.54K,-0.03%
2008-06-24,870.00,866.00,883.25,859.75,37.02K,0.43%
2008-06-25,901.75,869.25,912.00,866.50,47.86K,3.65%
2008-06-26,924.00,898.50,952.75,898.50,40.44K,2.47%
2008-06-27,895.50,924.00,940.00,890.00,37.10K,-3.08%
2008-06-30,843.50,886.50,903.25,839.00,12.43K,-5.81%
2008-07-01,849.75,843.00,860.25,839.00,9.98K,0.74%
2008-07-02,865.25,849.75,868.50,840.00,6.03K,1.82%
2008-07-03,872.75,868.50,877.50,855.25,7.22K,0.87%
2008-07-07,822.00,865.00,865.00,813.25,2.49K,-5.81%
2008-07-08,823.25,822.50,832.00,801.00,2.79K,0.15%
2008-07-09,814.00,829.00,829.00,811.00,1.22K,-1.12%
2008-07-10,806.50,818.75,818.75,803.25,0.87K,-0.92%
2008-07-11,819.00,809.50,832.25,801.00,0.60K,1.55%
2008-07-14,810.00,812.25,814.00,804.00,0.52K,-1.10%
2008-07-15,811.00,818.00,828.50,805.00,31.70K,0.12%
2008-07-16,834.00,809.50,839.00,796.50,42.15K,2.84%
2008-07-17,809.50,833.00,842.00,807.00,44.06K,-2.94%
2008-07-18,804.00,808.25,822.00,798.25,37.06K,-0.68%
2008-07-21,791.00,797.75,803.00,786.25,30.73K,-1.62%
2008-07-22,796.75,792.25,802.50,787.00,33.85K,0.73%
2008-07-23,783.25,796.75,801.00,775.00,36.08K,-1.69%
2008-07-24,787.75,781.00,795.00,777.50,27.38K,0.57%
2008-07-25,811.00,790.00,822.75,781.75,33.80K,2.95%
2008-07-28,797.75,814.25,832.00,795.00,34.24K,-1.63%
2008-07-29,792.00,798.50,801.25,777.75,33.14K,-0.72%
2008-07-30,787.75,794.50,799.00,782.25,26.32K,-0.54%
2008-07-31,783.75,788.50,798.50,782.00,34.64K,-0.51%
2008-08-01,794.00,784.50,810.25,782.00,50.82K,1.31%
2008-08-04,758.75,794.00,798.25,752.00,52.23K,-4.44%
2008-08-05,780.00,758.00,806.75,746.00,72.32K,2.80%
2008-08-06,765.75,780.00,790.00,751.00,47.46K,-1.83%
2008-08-07,822.25,765.50,825.75,764.75,69.56K,7.38%
2008-08-08,765.25,823.00,823.50,762.50,64.07K,-6.93%
2008-08-11,793.75,763.00,814.00,761.75,66.08K,3.72%
2008-08-12,790.25,795.50,800.00,776.25,50.63K,-0.44%
2008-08-13,850.25,790.00,850.25,790.00,57.71K,7.59%
2008-08-14,864.50,851.00,888.00,834.75,74.92K,1.68%
2008-08-15,824.25,862.50,863.75,815.50,42.93K,-4.66%
2008-08-18,859.75,823.00,875.00,823.00,30.32K,4.31%
2008-08-19,845.25,858.50,873.25,841.00,24.07K,-1.69%
2008-08-20,874.75,843.00,877.75,842.50,18.44K,3.49%
2008-08-21,897.25,873.75,932.25,870.00,21.93K,2.57%
2008-08-22,865.50,893.00,894.75,863.00,13.44K,-3.54%
2008-08-25,840.25,875.00,885.00,839.00,16.85K,-2.92%
2008-08-26,830.50,840.00,844.75,810.50,22.77K,-1.16%
2008-08-27,802.75,831.25,839.50,797.25,22.64K,-3.34%
2008-08-28,789.00,804.25,807.75,779.25,25.40K,-1.71%
2008-08-29,779.25,789.00,791.50,778.00,19.88K,-1.24%
2008-09-01,680.00,770.00,770.00,662.50,531.82K,-12.74%
2008-09-02,744.25,770.00,770.00,734.25,8.86K,9.45%
2008-09-03,752.25,744.00,757.25,739.75,6.63K,1.07%
2008-09-04,755.25,758.75,763.75,751.25,4.73K,0.40%
2008-09-05,729.75,744.50,744.50,721.75,2.98K,-3.38%
2008-09-08,722.75,738.00,740.75,720.50,2.12K,-0.96%
2008-09-09,711.50,720.75,721.00,700.00,1.51K,-1.56%
2008-09-10,706.75,701.00,711.00,698.00,0.44K,-0.67%
